총생활인구수,기온,기압,풍속,운량,일강수량,최대순간풍속풍향,최대풍속풍향,평균풍속,최다풍향,일최심적설,일최심신적설,강수여부,일 미세먼지 농도(㎍/㎥),휴일여부,요일,계절,month,day,영등포구
479459.04244166665,0.4604044710052024,-0.8083377350060973,1.4161247413494518,-1.9829902788683105,0.0,320,290,2.7,270,0.0,0.0,0.0,41.0,0,3,1,4,8,8342.0
476611.5879125,0.2349358107608304,-0.6875718740532583,1.2428578167225086,-1.611278592104311,0.0,20,50,2.7,50,0.0,0.0,0.0,42.0,0,4,1,4,9,8986.0
429074.1462375,0.2182094881029707,-0.5547294270051353,0.0488006626842665,-0.9912110736440516,0.0,250,270,2.6,250,0.0,0.0,0.0,45.0,0,5,1,4,10,9200.0
423933.18069583335,-0.0461875100180823,-0.5305762548145675,-0.8616086431925021,-1.373380164974304,0.0,270,250,1.7,20,0.0,0.0,0.0,59.0,0,6,1,4,11,9751.0
477106.4320166667,-0.218957423290916,-0.1078957414796308,0.5957691374862208,0.2882355006827681,22.0,110,140,2.4,70,0.0,0.0,1.0,62.0,0,0,1,4,12,2177.0
478628.4627625,0.5217099793466478,-0.2769679468136055,1.2445679365725415,1.178884598918687,8.0,270,250,3.7,270,0.0,0.0,1.0,24.0,0,1,1,4,13,6832.0
481584.33270416665,0.9747430443689292,-0.6634187018626904,2.2058924045914927,-0.5149772397350725,0.0,320,270,2.9,270,0.0,0.0,0.0,50.0,0,2,1,4,14,7968.0
479733.6907875,0.2783524332045423,-0.4339635660522963,0.1931897665400527,-0.2975566420886047,0.0,290,270,2.1,270,0.0,0.0,0.0,71.0,0,3,1,4,15,8802.0
476716.15177916666,0.397884186338675,-0.4460401521475802,1.4467126819706424,-0.2327311134813497,0.7,180,200,2.6,200,0.0,0.0,1.0,103.0,0,4,1,4,16,6325.0
428100.1545875,0.6780882323338449,-0.6030357713862708,2.6933951180011,-0.4744066618994174,0.0,180,290,2.6,230,0.0,0.0,0.0,105.0,0,5,1,4,17,5464.0
422942.59656250005,0.5676793439649855,-0.4822699104334319,1.4467126819706424,0.1356404316435547,0.0,320,250,3.2,250,0.0,0.0,0.0,50.0,0,6,1,4,18,8157.0
472968.77653333335,0.1597133227537505,-0.3252742911947412,0.391914272238088,0.3948906475550313,0.0,180,200,2.4,200,0.0,0.0,0.0,69.0,0,0,1,4,19,8965.0
478836.97496666666,-0.1722734637133775,-0.361504049480593,-0.2654351260983975,-0.799304467198537,0.0,290,270,1.9,270,0.0,0.0,0.0,78.0,0,1,1,4,20,9192.0
478942.02732916665,-0.8006033186744327,-0.3252742911947412,-0.4641596317964324,-1.6071163896848266,0.0,250,250,1.8,270,0.0,0.0,0.0,81.0,0,2,1,4,21,9582.0
478388.0591958333,-1.1315093447946354,-0.3131977050994573,0.7944936431842561,-1.8036221781987904,0.0,320,50,2.5,50,0.0,0.0,0.0,78.0,0,3,1,4,22,9123.0
476144.573075,-0.7960552954083095,-0.337350877290025,2.2347702253626505,-1.344089052485289,0.0,50,50,3.2,50,0.0,0.0,0.0,41.0,0,4,1,4,23,9140.0
428591.5338291666,-0.6936096559264272,-0.3494274633853089,0.3867839126879888,-1.5264122136624825,0.0,50,340,2.7,50,0.0,0.0,0.0,24.0,0,5,1,4,24,9699.0
423194.421725,-0.7283939982762706,-0.2045084302419021,1.5061784433629897,-0.8632560365078611,0.0,70,50,2.7,50,0.0,0.0,0.0,26.0,0,6,1,4,25,11486.0
477331.4554916667,-0.4163610962323136,-0.2528147746230378,0.1371442448477708,-0.951077475457362,0.0,200,290,2.6,110,0.0,0.0,0.0,29.0,0,0,1,4,26,10514.0
478551.5561791667,-0.4323772764844839,-0.1320489136701988,0.5057154354726836,0.0056042932976224,1.7,200,230,2.3,200,0.0,0.0,1.0,35.0,0,1,1,4,27,8335.0
479479.7623208333,-0.2182451614239575,-0.1682786719560503,0.5957691374862208,-0.0441646486749311,4.7,180,230,2.4,200,0.0,0.0,1.0,58.0,0,2,1,4,28,9279.0
479607.4699541666,-0.2047057095987048,-0.3735806355758768,1.8679091545877704,-0.7173412507468389,3.9,180,200,2.3,50,0.0,0.0,1.0,59.0,0,3,1,4,29,7980.0
477750.476,0.1876947713790884,-0.1078957414796308,0.4734173750014607,1.9641375907116956,26.3,160,200,2.4,200,0.0,0.0,1.0,40.0,0,4,1,4,30,7251.0
429427.4894333333,0.2655347431856787,-0.216585016337186,1.6097188874973885,1.235718905300854,8.0,290,320,2.7,270,0.0,0.0,1.0,33.0,0,5,1,5,1,3337.0
424449.845025,0.0879966700895564,-0.2769679468136055,0.7604854628630002,0.3865143441985214,1.7,290,270,3.1,270,0.0,0.0,1.0,19.0,0,6,1,5,2,9667.0
476873.46554166666,-0.064171536270925,-0.3856572216711607,0.3341586306957732,-0.739515100308697,0.0,270,200,2.1,200,0.0,0.0,0.0,41.0,0,0,1,5,3,10009.0
477780.6259666667,-0.2276248657384957,0.1819423248071826,0.4802578544015923,1.574414256805321,19.6,290,290,2.1,50,0.0,0.0,1.0,36.0,0,1,1,5,4,1654.0
431133.0945458333,-0.1277750029927532,-0.2286616024324698,2.6424799558589176,-0.2862771767419639,0.1,270,250,3.5,250,0.0,0.0,1.0,38.0,1,2,1,5,5,10805.0
475819.9058583333,-0.1969492599975395,-0.470193324338148,2.15497724244931,-1.199433307153621,0.0,230,230,2.4,50,0.0,0.0,0.0,56.0,0,3,1,5,6,10029.0
473806.3248291667,-0.1181501930079225,-0.2286616024324698,2.498090852003131,-0.0909785301398116,8.8,200,230,3.4,230,0.0,0.0,1.0,298.0,0,4,1,5,7,6776.0
414852.06871666666,-0.2488887224091936,-0.1562020858607665,4.2594437023643215,0.0904706717394504,0.0,180,200,3.4,250,0.0,0.0,0.0,384.0,0,5,1,5,8,5272.0
415497.7518083334,-0.2875237040679432,-0.3856572216711607,3.661560065420184,-1.059376743890402,0.0,270,270,3.5,270,0.0,0.0,0.0,47.0,0,6,1,5,9,9411.0
478590.1769208333,-0.0213125981256305,-0.1682786719560503,-0.7189296591867488,1.1542445670156642,0.0,200,200,1.8,50,0.0,0.0,0.0,26.0,0,0,1,5,10,7189.0
479586.4750916667,-0.6439162058014073,-0.2648913607183217,0.9388827470400424,-1.041802076396993,0.0,140,110,2.7,110,0.0,0.0,0.0,24.0,0,1,1,5,11,10422.0
478292.0393291667,-1.2970553215094411,-0.1682786719560503,-0.8293105827212789,-1.5594285489220152,0.0,50,50,2.2,70,0.0,0.0,0.0,24.0,0,2,1,5,12,10257.0
